K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271019  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…8월,"11,595,505",4.3,"20,322,416,608",0.5,"686,287",-18.7,"1,432,392,571",-18.9
…9월,"13,329,318",3.2,"23,013,817,450",-2.7,"737,653",-18.9,"1,513,441,772",-20.1
…10월,"15,255,667",7.3,"25,918,569,426",-1.3,"799,969",-17.6,"1,604,706,574",-20.6
…11월,"17,563,217",13.1,"29,089,318,902",0.4,"877,948",-14.6,"1,736,949,317",-18.7
…12월,"19,843,552",18.7,"32,208,394,071",3.1,"943,823",-12.4,"1,824,293,351",-17.9
2006년,"16,718,864",30.4,"31,225,397,271",7.6,"1,077,610",76.7,"2,223,267,768",56.8
…1월,"995,447",28.6,"2,096,949,033",-11.4,"112,089",109,"276,856,523",73.2
…2월,"1,910,505",37,"3,928,736,939",-5.3,"209,661",78.7,"506,443,008",34.6
…3월,"2,957,413",32,"5,964,547,790",-4.1,"325,040",102.8,"767,954,836",62
…4월,"4,338,012",46.7,"8,465,416,002",6.9,"420,368",95.4,"937,892,157",57.9
…5월,"5,743,930",47.5,"10,930,123,433",7.2,"530,334",111.7,"1,154,681,321",72.8
…6월,"7,079,926",43.9,"13,314,931,522",5.1,"647,010",124.2,"1,379,475,034",83
…7월,"8,973,737",46.3,"16,498,875,695",7.5,"756,039",121.5,"1,573,465,122",82.4
…8월,"11,113,828",48.3,"20,224,882,468",11.7,"844,569",99.7,"1,766,722,238",66.7
…9월,"12,917,363",44.7,"23,648,420,658",13.9,"909,482",96.5,"1,893,273,534",66.9
…10월,"14,217,134",39.7,"26,268,471,957",13.2,"971,338",94.7,"2,022,030,167",67.9
…11월,"15,532,455",34.2,"28,986,419,924",10.2,"1,028,191",86.9,"2,135,956,841",64.4
…12월,"16,718,864",30.4,"31,225,397,271",7.6,"1,077,610",76.7,"2,223,267,768",56.8
2005년,"12,817,802",64.9,"29,020,336,592",18.9,"609,987",-24.4,"1,417,945,885",-46.1
…1월,"773,980",63.1,"2,367,269,041",29.4,"53,636",-39.9,"159,862,252",-48.6
…2월,"1,394,963",41.9,"4,148,700,701",10.6,"117,335",-29.3,"376,333,304",-37.4
…3월,"2,239,875",47.6,"6,216,943,079",8.8,"160,300",-34.5,"474,108,461",-46.7
…4월,"2,957,280",43,"7,922,506,418",3.3,"215,125",-34.9,"594,029,406",-51
…5월,"3,894,826",34.9,"10,196,981,734",-2.6,"250,472",-35.3,"668,277,346",-52.4
…6월,"4,919,010",57.3,"12,670,939,915",12.7,"288,548",-36.7,"753,996,015",-53.9
…7월,"6,132,621",62.2,"15,344,137,368",16.4,"341,321",-35.1,"862,594,354",-53.3
…8월,"7,496,662",68,"18,104,981,297",19,"423,013",-25.2,"1,059,882,714",-45.9
